Logistic_Probabilities,RF_Probabilities
"[4.45089589e-05 3.88787810e-05 9.27731332e-05 5.56712574e-05
 1.21613143e-04 3.85812057e-05 4.16739009e-05 6.29601291e-05
 9.97323399e-01 3.77574937e-05 1.77348357e-03 2.10589558e-05
 6.23944688e-05 7.14097680e-05 4.11896228e-05 6.40518982e-05
 9.01864808e-05 1.84080164e-05]","[0.   0.   0.   0.   0.03 0.   0.   0.   0.86 0.   0.11 0.   0.   0.
 0.   0.   0.   0.  ]"
"[4.29732006e-05 3.04763479e-05 3.34443543e-05 3.83263167e-05
 1.03217433e-04 2.18556397e-05 3.21443331e-05 2.95977175e-05
 9.98457845e-01 4.44358822e-05 9.28089320e-04 2.37692673e-05
 3.85866074e-05 4.84007755e-05 2.17495111e-05 2.33586001e-05
 6.35673923e-05 1.81622236e-05]","[0.   0.   0.   0.   0.02 0.   0.   0.   0.95 0.   0.02 0.   0.   0.
 0.   0.   0.01 0.  ]"
"[1.10899026e-04 7.60396512e-05 1.27343785e-04 9.33057143e-05
 7.54553624e-05 5.63769076e-05 7.12828830e-05 9.98092643e-01
 3.67918336e-05 7.82835342e-05 5.07524428e-04 7.16354863e-05
 1.05772149e-04 1.27667161e-04 8.80860480e-05 1.11989038e-04
 9.10165443e-05 7.78871087e-05]","[0.01 0.   0.   0.01 0.   0.   0.   0.94 0.   0.   0.   0.   0.   0.02
 0.   0.01 0.01 0.  ]"
"[5.08655529e-05 3.25337139e-05 7.99359547e-05 6.35340936e-05
 9.80646108e-01 3.12456141e-05 4.13991615e-05 8.61951403e-05
 5.75570969e-05 4.09532502e-05 1.84205917e-02 3.79030078e-05
 6.11824479e-05 6.43580679e-05 3.83506752e-05 6.26738939e-05
 1.53279000e-04 3.13335903e-05]","[0.   0.   0.   0.01 0.71 0.   0.   0.   0.   0.   0.28 0.   0.   0.
 0.   0.   0.   0.  ]"
"[2.19292773e-04 1.48793239e-04 1.18876802e-04 2.35279582e-04
 1.27853761e-04 1.51641220e-04 2.81862060e-04 1.92548623e-04
 1.02706980e-04 9.96643557e-01 3.76154536e-04 1.39034292e-04
 1.69128333e-04 2.07827637e-04 2.53501718e-04 2.01675124e-04
 1.35588158e-04 2.94678368e-04]","[0.05 0.01 0.   0.   0.   0.   0.03 0.   0.01 0.77 0.   0.02 0.   0.02
 0.04 0.01 0.01 0.03]"
"[9.56495760e-05 9.75007409e-05 7.66979636e-05 2.24539940e-04
 4.83653441e-05 9.98144232e-01 1.06365981e-04 8.49172860e-05
 8.81901722e-05 9.51869080e-05 3.87725147e-05 1.50642028e-04
 8.75322029e-05 2.00028125e-04 1.03182713e-04 1.02501168e-04
 5.38776077e-05 2.01817794e-04]","[0.01 0.01 0.   0.   0.   0.95 0.   0.   0.01 0.   0.   0.01 0.   0.
 0.   0.   0.   0.01]"
"[5.59727724e-05 5.23949482e-05 7.00687379e-05 5.40355227e-05
 9.78651854e-05 5.62473631e-05 5.17790876e-05 9.92009771e-05
 9.98540601e-01 4.66502640e-05 2.96859761e-04 7.10289421e-05
 9.41356383e-05 7.91630733e-05 6.11937587e-05 7.89800208e-05
 1.38315855e-04 5.55069665e-05]","[0.   0.   0.   0.   0.02 0.   0.   0.   0.93 0.   0.01 0.   0.02 0.
 0.   0.01 0.01 0.  ]"
"[9.00590082e-05 9.66585035e-05 8.59801331e-05 8.00643389e-05
 7.68022921e-05 1.59161991e-04 7.06123087e-05 1.17824228e-04
 2.21583861e-05 1.39775320e-04 8.96255973e-05 1.15569899e-04
 1.60215598e-04 8.41675220e-05 9.98299303e-01 1.21649907e-04
 7.83908143e-05 1.11981032e-04]","[0.05 0.   0.01 0.01 0.   0.03 0.   0.   0.   0.04 0.   0.01 0.05 0.
 0.74 0.04 0.02 0.  ]"
"[6.89998198e-05 8.90067860e-05 2.28444872e-05 6.25146050e-05
 2.50129810e-05 1.13072302e-04 9.97631379e-05 4.28020282e-05
 2.03015856e-05 1.32219582e-04 2.32567412e-06 9.98846290e-01
 6.70701773e-05 3.58608197e-05 6.12336521e-05 7.10319560e-05
 3.27792908e-05 2.06871062e-04]","[0.02 0.   0.   0.   0.   0.05 0.   0.   0.   0.02 0.   0.89 0.   0.
 0.   0.01 0.   0.01]"
"[9.98177087e-01 1.33535028e-04 1.06765838e-04 1.25526570e-04
 4.08779264e-05 1.45677652e-04 1.44580674e-04 9.32851279e-05
 4.06225286e-05 1.25986870e-04 2.21973890e-04 1.08016882e-04
 7.82314677e-05 1.04343083e-04 1.13692848e-04 9.05145891e-05
 5.75814187e-05 9.17006158e-05]","[0.8  0.03 0.   0.03 0.   0.   0.02 0.01 0.   0.01 0.01 0.   0.02 0.
 0.05 0.01 0.01 0.  ]"
"[4.54724263e-05 5.53658407e-05 4.56083498e-05 5.44690983e-05
 4.01726844e-05 5.64378024e-05 6.17638100e-05 3.96941058e-05
 9.98949423e-01 5.06394738e-05 2.95693999e-04 4.45656185e-05
 3.32880282e-05 4.45540138e-05 4.79867958e-05 3.89684565e-05
 5.98986558e-05 3.59982135e-05]","[0.   0.02 0.   0.   0.   0.   0.   0.   0.93 0.   0.01 0.   0.   0.01
 0.03 0.   0.   0.  ]"
"[7.77134938e-05 4.61475640e-05 9.98824783e-01 8.88294363e-05
 7.54216407e-05 4.03447735e-05 9.56123685e-05 1.02567126e-04
 2.98854989e-05 7.63278367e-05 8.77892965e-05 3.66288733e-05
 7.01542475e-05 7.19416113e-05 7.13030088e-05 1.01975246e-04
 6.86925736e-05 3.38824569e-05]","[0.02 0.   0.86 0.   0.   0.   0.02 0.02 0.   0.   0.   0.   0.   0.01
 0.   0.04 0.02 0.01]"
"[6.54844729e-05 7.54368364e-05 5.21255636e-05 6.37123013e-05
 8.62409039e-05 3.55072971e-05 6.39024469e-05 6.91892784e-05
 9.98897670e-01 6.90699329e-05 8.74524692e-05 7.46033000e-05
 5.40549471e-05 6.06498821e-05 7.14656574e-05 6.08046669e-05
 7.91652854e-05 3.34646434e-05]","[0.   0.   0.   0.01 0.02 0.   0.   0.   0.94 0.01 0.01 0.   0.   0.
 0.   0.01 0.   0.  ]"
"[1.19843022e-04 1.06677256e-04 1.28820461e-04 1.40232150e-04
 6.99500138e-05 7.77189121e-05 1.38151068e-04 1.13697236e-04
 5.88780763e-05 6.87330100e-05 4.35154212e-04 7.42056109e-05
 9.97997590e-01 9.09451372e-05 9.71053476e-05 1.09505011e-04
 8.00616271e-05 9.27319982e-05]","[0.02 0.01 0.   0.03 0.   0.   0.02 0.01 0.   0.   0.   0.   0.89 0.
 0.   0.01 0.01 0.  ]"
"[1.14447489e-04 9.72752208e-05 1.24764546e-04 1.65070928e-04
 1.04169534e-04 9.39821340e-05 1.34585461e-04 1.27604483e-04
 4.61404410e-05 8.45860629e-05 3.00091093e-04 5.99228230e-05
 1.32780136e-04 9.97998785e-01 1.03412446e-04 1.49433752e-04
 8.00818302e-05 8.28669873e-05]","[0.01 0.02 0.02 0.02 0.   0.01 0.02 0.01 0.   0.   0.01 0.   0.   0.86
 0.   0.01 0.   0.01]"
"[1.39387693e-04 2.48639754e-04 5.72973910e-05 1.10509053e-04
 5.87964505e-05 2.60629456e-04 1.65309805e-04 7.62556209e-05
 3.66191834e-05 1.24205509e-04 1.23639714e-05 9.97929921e-01
 1.05908277e-04 7.82127608e-05 1.53142797e-04 8.67133655e-05
 7.48530361e-05 2.81234567e-04]","[0.02 0.02 0.01 0.01 0.   0.03 0.03 0.01 0.   0.02 0.   0.81 0.01 0.
 0.01 0.   0.   0.02]"
"[3.59367853e-05 3.10985235e-05 4.99770031e-05 3.74152635e-05
 6.64996429e-05 3.21050311e-05 3.26400003e-05 7.32708610e-05
 9.98764948e-01 3.14998070e-05 4.78560543e-04 3.79016196e-05
 6.43811430e-05 5.60239877e-05 3.65172928e-05 5.24040185e-05
 9.18834697e-05 2.69374856e-05]","[0.   0.   0.   0.   0.   0.   0.   0.   0.94 0.   0.02 0.   0.   0.
 0.   0.   0.04 0.  ]"
"[1.05998785e-04 1.69220631e-04 6.32041014e-05 9.78378059e-05
 4.31838733e-05 9.98145272e-01 1.26912163e-04 6.76653832e-05
 3.21127448e-05 1.56261694e-04 2.16668093e-05 2.11157315e-04
 9.97745071e-05 5.66071912e-05 1.94939325e-04 1.12289135e-04
 4.97306568e-05 2.46165690e-04]","[0.   0.01 0.   0.   0.   0.87 0.   0.   0.   0.02 0.   0.04 0.   0.
 0.03 0.02 0.   0.01]"
"[9.98381175e-01 1.04221195e-04 9.50225803e-05 1.05219839e-04
 5.50971981e-05 8.22258045e-05 1.07846084e-04 7.21341837e-05
 2.28003316e-05 8.41261136e-05 1.13158165e-04 7.61165470e-05
 7.66043335e-05 7.35974991e-05 1.07300555e-04 1.00677899e-04
 2.32172703e-04 1.10503512e-04]","[0.87 0.02 0.   0.02 0.   0.02 0.02 0.   0.01 0.03 0.   0.   0.   0.
 0.   0.   0.01 0.  ]"
"[4.67704295e-05 2.63725661e-05 5.58631274e-05 5.19169595e-05
 9.62627170e-05 2.88524121e-05 4.50641075e-05 4.84266850e-05
 9.99086069e-01 3.27370059e-05 1.86493026e-04 3.01417548e-05
 5.49278991e-05 4.21638771e-05 3.48944045e-05 4.89463355e-05
 6.84676998e-05 1.56295009e-05]","[0.   0.   0.   0.   0.   0.   0.   0.   0.98 0.   0.01 0.   0.   0.
 0.   0.   0.01 0.  ]"
"[1.14161945e-04 9.98267886e-01 8.53133092e-05 9.77743681e-05
 6.33666847e-05 1.42287771e-04 1.11681891e-04 7.93563322e-05
 3.68250944e-05 1.31298186e-04 9.07947832e-05 1.40703954e-04
 1.07214907e-04 9.39658264e-05 1.26568612e-04 1.07844882e-04
 6.32908571e-05 1.39664178e-04]","[0.01 0.94 0.   0.   0.   0.   0.   0.   0.   0.01 0.   0.01 0.   0.
 0.03 0.   0.   0.  ]"
"[6.69606649e-05 5.59149683e-05 7.63302867e-05 7.05101617e-05
 1.40512646e-04 4.38737367e-05 4.34313708e-05 7.70259781e-05
 1.38370796e-04 4.53086217e-05 2.33454580e-04 2.48814069e-05
 6.24318780e-05 6.13743423e-05 4.04449204e-05 7.44483080e-05
 9.98720394e-01 2.43314326e-05]","[0.   0.   0.   0.   0.01 0.   0.01 0.   0.05 0.   0.03 0.   0.   0.
 0.   0.   0.9  0.  ]"
"[9.98144053e-01 1.78108988e-04 7.01954155e-05 1.32929612e-04
 8.93232876e-05 1.26672321e-04 1.29723018e-04 1.12637763e-04
 2.20550666e-05 8.51816498e-05 1.31576617e-04 1.52728118e-04
 8.24653704e-05 1.13915268e-04 1.01780405e-04 1.22789008e-04
 7.25907056e-05 1.31274516e-04]","[0.81 0.07 0.   0.02 0.   0.01 0.03 0.02 0.01 0.01 0.   0.   0.   0.
 0.01 0.01 0.   0.  ]"
"[3.26185475e-05 3.56577199e-05 4.58462682e-05 4.50340415e-05
 6.74361061e-05 3.22899993e-05 4.12065178e-05 3.46271240e-05
 9.99065257e-01 3.58845851e-05 2.92609431e-04 3.24370610e-05
 3.39420890e-05 4.31670869e-05 3.73680148e-05 3.36337924e-05
 6.65724319e-05 2.44120274e-05]","[0.   0.   0.   0.   0.   0.   0.   0.   0.98 0.   0.01 0.   0.01 0.
 0.   0.   0.   0.  ]"
"[3.14440687e-04 4.62114187e-05 4.16708439e-05 7.13404088e-05
 1.40257054e-04 5.35999282e-05 4.23492764e-05 6.71219112e-05
 9.98132340e-01 5.72316883e-05 6.28272272e-04 4.30655237e-05
 6.77882104e-05 3.98230420e-05 4.15698985e-05 4.62405036e-05
 1.33721100e-04 3.29561894e-05]","[0.02 0.   0.   0.   0.04 0.   0.   0.   0.9  0.   0.02 0.   0.   0.
 0.   0.   0.02 0.  ]"
"[1.32946993e-04 1.02652949e-04 5.38203221e-05 7.93058174e-05
 3.80121708e-05 1.21695368e-04 8.66724707e-05 1.17804036e-04
 3.54734880e-05 1.27593497e-04 2.25461486e-04 1.05088078e-04
 9.98349256e-01 5.19899263e-05 9.71845196e-05 8.93521715e-05
 8.91170906e-05 9.65739404e-05]","[0.01 0.04 0.   0.   0.   0.   0.01 0.   0.   0.04 0.   0.01 0.8  0.
 0.01 0.05 0.01 0.02]"
"[6.21747154e-05 5.00243993e-05 7.97085186e-05 7.08226475e-05
 1.51076409e-04 4.28437093e-05 6.30907579e-05 7.19018010e-05
 9.97660492e-01 6.53955623e-05 1.17627443e-03 4.55888926e-05
 7.83507383e-05 8.95475034e-05 5.29599796e-05 6.95129977e-05
 1.34293006e-04 3.59421948e-05]","[0.   0.   0.01 0.   0.   0.   0.   0.   0.9  0.01 0.04 0.   0.   0.01
 0.   0.   0.03 0.  ]"
"[1.32871208e-04 1.40997845e-04 8.95575852e-05 9.76357777e-05
 5.96951435e-05 1.78577387e-04 2.00106159e-04 8.58464667e-05
 2.52100455e-05 1.81312810e-04 6.38058140e-06 9.97965843e-01
 8.99747632e-05 4.91622775e-05 2.27017620e-04 1.41829415e-04
 7.09097993e-05 2.57071945e-04]","[0.   0.01 0.01 0.   0.   0.   0.04 0.01 0.   0.01 0.   0.83 0.   0.
 0.02 0.03 0.   0.04]"
